massimale_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-2.5177	-4.12903	-6.74744	1.81274	27.6947
0.0005	-7.25098	-12.38708	-3.7262	-0.10071	30.81665
0.001	-8.7616	-9.36584	-1.71204	-0.90637	18.32886
0.0015	-23.06213	-14.30054	-8.96301	1.10779	17.82532
0.002	-22.96143	-14.90479	-1.91345	5.23682	21.45081
0.0025	-33.13293	-14.50195	-5.33752	-0.20142	19.94019
0.003	-35.14709	-11.17859	-0.10071	1.91345	15.30762
0.0035	-30.51453	-14.40125	-3.52478	-1.61133	9.97009
0.004	-43.00232	-21.55151	-5.84106	-0.10071	6.04248
0.0045	-37.7655	-17.12036	-0.10071	0.80566	2.71912
0.005	-38.36975	-8.66089	3.8269	0.10071	-0.30212
0.0055	-40.1825	-15.1062	2.71912	-4.12903	2.31628
0.006	-40.48462	-10.0708	9.36584	-3.92761	-6.14319
0.0065	-41.29028	-9.16443	8.96301	-1.40991	-13.49487
0.007	-36.35559	-6.74744	6.64673	-7.85522	-15.40833
0.0075	-32.42798	-11.88354	13.59558	-12.18567	-17.22107
0.008	-29.50745	-7.45239	12.99133	-4.22974	-11.17859
0.0085	-17.32178	-10.97717	9.26514	-1.51062	-12.08496
0.009	-15.71045	-2.92053	5.43823	-3.8269	-24.77417
0.0095	-9.36584	-2.21558	5.13611	-9.36584	-28.39966
0.01	-1.71204	3.7262	3.22266	-3.22266	-24.37134
0.0105	-1.61133	-0.10071	8.8623	-0.20142	-27.29187
0.011	3.22266	4.83398	6.54602	-0.20142	-19.13452
0.0115	11.38	4.33044	-4.73328	-1.51062	-23.36426
0.012	23.66638	8.35876	1.3092	-2.01416	-19.63806
0.0125	25.57983	7.85522	1.81274	-0.80566	-17.52319
0.013	22.25647	9.66797	3.02124	-5.94177	-20.74585
0.0135	27.79541	14.60266	3.92761	-7.85522	-20.44373
0.014	29.70886	15.60974	2.01416	-5.53894	-17.6239
0.0145	30.41382	10.57434	-1.10779	-6.84814	-6.74744
0.015	24.67346	7.04956	-2.11487	-6.74744	-3.42407
0.0155	29.00391	5.94177	-5.13611	-3.52478	0
0.016	32.93152	8.56018	-2.71912	-10.67505	-6.14319
0.0165	26.08337	8.35876	-2.61841	-7.75452	-0.80566
0.017	24.47205	7.25098	3.42407	-5.53894	9.16443
0.0175	20.64514	12.99133	-1.81274	-3.92761	9.46655
0.018	21.45081	7.04956	-5.63965	-3.12195	15.81116
0.0185	7.35168	-0.40283	2.31628	-1.61133	20.44373
0.019	-3.32336	-9.97009	-0.70496	1.81274	22.35718
0.0195	-4.53186	-4.12903	3.32336	-6.14319	24.16992
0.02	-6.14319	-13.99841	-1.51062	0.80566	18.73169
0.0205	-8.45947	-6.94885	-2.71912	-0.70496	19.33594
0.021	-12.38708	-10.47363	-2.71912	-2.31628	25.177
0.0215	-21.24939	-12.38708	-2.31628	1.3092	21.14868
0.022	-23.26355	-15.50903	2.11487	-5.43823	17.52319
0.0225	-41.89453	-14.09912	2.11487	3.8269	21.3501
0.023	-42.7002	-19.63806	0.30212	-3.02124	15.40833
0.0235	-46.42639	-13.99841	-2.01416	-3.42407	16.81824
0.024	-43.10303	-19.13452	0	-2.31628	11.07788
0.0245	-41.39099	-22.05505	-0.70496	-1.40991	6.04248
0.025	-34.64355	-17.72461	-2.81982	-1.3092	0.70496
0.0255	-27.79541	-20.74585	-4.12903	-8.56018	-5.84106
0.026	-27.59399	-17.92603	-0.90637	-3.7262	-8.25806
0.0265	-30.11169	-9.97009	-6.44531	-5.53894	-3.8269
0.027	-31.32019	-15.60974	-2.81982	-7.04956	-10.27222
0.0275	-26.68762	-12.08496	-9.46655	-0.80566	-11.2793
0.028	-20.74585	-5.84106	-11.78284	-6.64673	-19.23523
0.0285	-11.98425	-2.92053	-6.64673	-6.54602	-20.84656
0.029	-9.26514	-4.12903	-2.71912	-7.95593	-22.6593
0.0295	0.60425	-1.71204	-6.14319	-6.94885	-22.45789
0.03	8.66089	-5.0354	-3.32336	-9.16443	-18.22815
0.0305	10.77576	-1.91345	-2.01416	-8.66089	-18.93311
0.031	11.38	5.53894	-2.71912	-12.5885	-21.85364
0.0315	15.30762	6.54602	-3.52478	-10.0708	-23.36426
0.032	20.94727	10.77576	-3.02124	-7.95593	-21.14868
0.0325	24.67346	7.95593	-7.45239	-8.66089	-24.37134
0.033	29.40674	9.46655	-0.50354	-12.78992	-18.42957
0.0335	30.2124	18.12744	-4.83398	-18.12744	-12.99133
0.034	39.27612	8.96301	-0.90637	-13.797	-15.40833
0.0345	27.89612	14.60266	-1.3092	-17.32178	-8.25806
0.035	27.79541	9.36584	-3.52478	-10.57434	-4.73328
0.0355	30.01099	12.99133	-0.70496	-15.40833	1.40991
0.036	23.96851	11.58142	1.3092	-12.89062	4.22974
0.0365	20.04089	12.99133	-0.10071	-19.53735	8.56018
0.037	17.82532	11.2793	-2.31628	-11.98425	8.15735
0.0375	16.91895	7.65381	-0.10071	-15.91187	7.15027
0.038	12.78992	5.0354	-0.10071	-14.80408	10.57434
0.0385	10.0708	2.41699	0.10071	-17.82532	14.90479
0.039	-0.30212	-4.53186	6.94885	-7.5531	17.82532
0.0395	-5.94177	-3.8269	3.92761	-13.797	24.97559
0.04	-11.48071	-3.22266	0.40283	-9.56726	21.04797
0.0405	-16.91895	0.20142	-6.14319	-13.797	14.19983
0.041	-19.23523	-2.11487	-3.42407	-11.58142	19.13452
0.0415	-25.68054	-1.71204	-6.84814	-8.56018	20.04089
0.042	-37.06055	-1.61133	-0.10071	-11.2793	21.04797
0.0425	-39.47754	-10.0708	-1.10779	-10.47363	21.3501
0.043	-39.98108	-14.30054	0.50354	-0.90637	19.33594
0.0435	-40.78674	-12.99133	-4.53186	-9.66797	13.59558
0.044	-37.56409	-17.92603	-2.81982	-10.47363	9.46655
0.0445	-29.20532	-28.09753	-3.02124	-13.19275	4.53186
0.045	-24.16992	-30.91736	-6.14319	-9.66797	9.76868
0.0455	-25.27771	-26.98975	-2.21558	-10.27222	-1.2085
0.046	-24.47205	-21.55151	-4.12903	-10.37292	-0.30212
0.0465	-27.89612	-20.1416	-9.76868	-8.15735	-5.33752
0.047	-23.36426	-12.68921	-6.64673	-8.7616	-4.43115
0.0475	-25.07629	-15.81116	-0.70496	-9.16443	-11.78284
0.048	-22.05505	-15.00549	-8.35876	-3.32336	-16.3147
0.0485	-10.77576	-9.36584	-0.30212	-9.46655	-20.64514
0.049	-4.53186	-7.85522	-1.10779	-5.94177	-24.87488
0.0495	-0.20142	-5.94177	-3.12195	-8.56018	-21.85364
0.05	4.53186	-0.80566	1.91345	-8.96301	-26.28479
0.0505	10.67505	-3.62549	-5.13611	-6.44531	-23.8678
0.051	23.46497	-0.50354	-10.37292	-7.45239	-21.65222
0.0515	17.12036	2.5177	-3.52478	-11.58142	-23.66638
0.052	28.70178	6.04248	0.30212	-7.95593	-20.54443
0.0525	26.3855	7.65381	-6.3446	-16.71753	-22.96143
0.053	31.72302	16.71753	-0.50354	-12.38708	-15.40833
0.0535	38.47046	10.57434	-1.61133	-9.56726	-14.09912
0.054	31.52161	8.7616	-3.7262	-19.23523	-9.86938
0.0545	27.89612	11.58142	4.12903	-19.73877	-4.12903
0.055	28.29895	7.25098	-0.10071	-13.49487	-9.46655
0.0555	26.28479	9.26514	5.53894	-9.16443	-4.73328
0.056	24.87488	8.25806	0.90637	-11.98425	2.61841
0.0565	23.26355	7.15027	-4.63257	-10.17151	8.15735
0.057	21.55151	5.53894	-0.90637	-12.78992	9.76868
0.0575	18.02673	11.38	-2.11487	-9.36584	13.797
0.058	11.78284	10.57434	-0.20142	-12.48779	19.33594
0.0585	2.5177	6.44531	0.10071	-13.09204	21.24939
0.059	0.60425	0.60425	-4.93469	-17.12036	13.39417
0.0595	-10.47363	5.33752	-5.33752	-13.19275	19.03381
0.06	-4.93469	-0.90637	-4.73328	-10.77576	15.00549
0.0605	-12.08496	-0.70496	-4.73328	-11.98425	17.12036
0.061	-16.81824	-5.63965	-4.33044	-12.18567	18.42957
0.0615	-27.29187	-8.15735	-6.04248	-11.78284	18.93311
0.062	-24.27063	-14.09912	-10.27222	-3.7262	26.48621
0.0625	-35.2478	-12.68921	-0.60425	-5.53894	22.55859
0.063	-39.77966	-9.26514	-3.7262	-2.31628	17.22107
0.0635	-42.7002	-12.48779	-8.45947	-6.2439	5.13611
0.064	-43.10303	-18.42957	-3.7262	2.92053	4.43115
0.0645	-42.09595	-22.86072	-1.81274	-7.95593	11.98425
0.065	-37.96692	-21.75293	-0.30212	-3.02124	2.81982
0.0655	-39.98108	-16.81824	-2.21558	-5.23682	-0.30212
0.066	-34.94568	-19.03381	-1.81274	-0.50354	-2.92053
0.0665	-32.83081	-12.89062	3.62549	-2.31628	-4.93469
0.067	-34.24072	-12.18567	-0.30212	-0.10071	-10.57434
0.0675	-30.2124	-10.0708	-0.70496	-1.81274	-18.22815
0.068	-21.65222	-2.11487	-8.35876	1.10779	-17.01965
0.0685	-12.78992	-5.33752	-0.50354	-5.43823	-21.24939
0.069	-13.797	-4.93469	-4.33044	-1.51062	-24.57275
0.0695	-6.64673	-5.84106	-1.71204	1.10779	-23.06213
0.07	2.92053	1.2085	-3.52478	-7.04956	-20.64514
0.0705	4.02832	8.56018	-1.81274	-4.12903	-26.68762
0.071	7.15027	-4.93469	-4.73328	-9.66797	-20.54443
0.0715	11.58142	4.33044	-3.8269	-8.05664	-27.19116
0.072	12.28638	9.86938	2.61841	-4.12903	-26.88904
0.0725	23.46497	11.48071	0.90637	-8.35876	-16.21399
0.073	26.68762	8.35876	3.62549	-6.54602	-17.42249
0.0735	34.94568	15.30762	1.81274	-7.5531	-13.09204
0.074	35.44922	8.8623	3.7262	-9.36584	-7.75452
0.0745	28.19824	7.5531	3.22266	-9.97009	-0.10071
0.075	34.14001	8.66089	6.94885	-1.51062	-5.94177
0.0755	27.19116	7.65381	3.8269	-2.61841	0.20142
0.076	30.11169	13.19275	2.31628	-3.7262	-2.41699
0.0765	28.80249	8.56018	-5.63965	-2.01416	-0.90637
0.077	24.57275	2.81982	3.42407	1.3092	4.33044
0.0775	25.177	4.93469	3.22266	-4.02832	6.54602
0.078	17.01965	3.92761	0.40283	-9.97009	9.97009
0.0785	9.36584	-2.5177	0.30212	-5.13611	22.96143
0.079	-0.30212	-5.13611	6.14319	-1.51062	25.88196
0.0795	-4.12903	-6.44531	-0.10071	1.00708	20.74585
