massimale_chiusura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0	-40.48462	-14.30054	-0.10071	29.20532	-40.38391
0.0005	-32.93152	-13.69629	-4.73328	19.83948	-44.21082
0.001	-27.19116	-10.17151	-3.12195	23.46497	-49.54834
0.0015	-17.72461	-2.01416	-1.91345	16.01257	-55.49011
0.002	-8.7616	-5.13611	-0.60425	13.19275	-53.37524
0.0025	-2.21558	-2.11487	-5.23682	10.37292	-50.2533
0.003	-1.40991	4.43115	-1.40991	12.18567	-46.02356
0.0035	13.39417	5.53894	4.33044	6.64673	-41.29028
0.004	21.45081	0.10071	-0.80566	0.70496	-38.06763
0.0045	21.85364	7.45239	-1.51062	-0.70496	-29.91028
0.005	34.14001	2.5177	-2.11487	-2.5177	-25.57983
0.0055	43.10303	8.25806	3.92761	-10.17151	-28.60107
0.006	48.03772	12.38708	2.81982	-17.01965	-16.21399
0.0065	53.87878	11.38	-1.91345	-22.45789	-7.35168
0.007	54.68445	13.39417	0.90637	-21.24939	5.33752
0.0075	51.5625	10.57434	-0.90637	-24.67346	13.09204
0.008	49.24622	8.25806	-3.02124	-27.99683	22.55859
0.0085	46.82922	11.78284	-1.51062	-22.96143	30.11169
0.009	39.98108	12.5885	-2.71912	-20.04089	36.15417
0.0095	47.8363	12.18567	2.11487	-29.40674	43.20374
0.01	36.05347	6.04248	1.91345	-25.78125	39.17542
0.0105	35.75134	6.2439	5.53894	-26.88904	46.22498
0.011	23.56567	4.33044	-1.81274	-25.78125	48.74268
0.0115	9.86938	1.91345	-0.20142	-22.05505	48.13843
0.012	1.10779	-0.60425	-2.5177	-20.44373	48.94409
0.0125	-7.75452	-2.61841	-3.92761	-11.98425	44.71436
0.013	-11.78284	-3.92761	-2.92053	-11.17859	39.98108
0.0135	-22.45789	-9.97009	3.22266	-6.54602	37.96692
0.014	-28.09753	-9.56726	1.51062	-0.90637	36.25488
0.0145	-28.29895	-11.17859	-4.53186	-5.94177	28.60107
0.015	-37.66479	-15.81116	-5.53894	2.92053	12.99133
0.0155	-47.63489	-20.24231	-8.7616	5.43823	18.32886
0.016	-50.75684	-18.42957	-5.94177	10.67505	8.66089
0.0165	-48.23914	-15.00549	-12.08496	15.40833	6.14319
0.017	-57.50427	-16.41541	-6.74744	19.53735	-3.12195
0.0175	-54.98657	-18.53027	-2.71912	19.83948	-18.73169
0.018	-54.28162	-18.02673	-1.2085	26.68762	-18.12744
0.0185	-52.36816	-13.59558	-5.74036	20.84656	-22.25647
0.019	-48.74268	-13.19275	-0.70496	29.80957	-30.41382
0.0195	-47.63489	-18.73169	-5.94177	22.35718	-40.98816
0.02	-40.1825	-13.29346	-3.12195	25.07629	-46.5271
0.0205	-39.88037	-12.18567	-0.10071	26.98975	-47.63489
0.021	-28.70178	-15.60974	-2.5177	25.78125	-47.33276
0.0215	-20.64514	-7.15027	-4.83398	21.55151	-52.67029
0.022	-9.36584	-1.3092	-1.3092	12.28638	-50.55542
0.0225	-3.7262	-4.12903	-0.20142	12.18567	-45.11719
0.023	2.31628	4.12903	-3.22266	6.64673	-48.84338
0.0235	14.09912	1.81274	-0.20142	6.44531	-38.87329
0.024	18.02673	-0.30212	-3.12195	3.92761	-32.02515
0.0245	27.89612	-0.80566	-4.12903	4.63257	-31.11877
0.025	32.93152	9.76868	-1.10779	-2.71912	-22.05505
0.0255	39.27612	14.50195	0.50354	-10.0708	-15.20691
0.026	45.11719	7.04956	-1.91345	-9.16443	-6.44531
0.0265	48.54126	6.64673	-0.10071	-19.03381	2.5177
0.027	52.8717	10.0708	-0.10071	-25.98267	3.52478
0.0275	46.82922	5.63965	2.11487	-22.6593	24.06921
0.028	53.17383	8.56018	1.71204	-27.29187	24.27063
0.0285	51.05896	12.48779	-1.51062	-23.26355	27.49329
0.029	40.98816	15.40833	0.50354	-26.78833	36.55701
0.0295	44.21082	8.7616	1.61133	-28.60107	39.17542
0.03	38.36975	10.17151	-0.50354	-27.09045	37.7655
0.0305	34.74426	3.52478	8.35876	-24.87488	44.11011
0.031	27.89612	2.11487	-4.12903	-30.61523	52.16675
0.0315	19.03381	-4.33044	3.32336	-25.47913	47.8363
0.032	8.35876	-2.31628	-6.64673	-23.16284	44.41223
0.0325	-1.51062	-7.25098	0.50354	-20.24231	44.61365
0.033	-8.66089	-7.04956	2.01416	-15.60974	44.31152
0.0335	-17.01965	-9.56726	1.81274	-11.58142	34.74426
0.034	-26.28479	-12.08496	3.32336	-7.45239	28.19824
0.0345	-37.46338	-11.58142	5.84106	-2.01416	25.07629
0.035	-41.18958	-15.20691	-2.71912	7.5531	20.1416
0.0355	-49.64905	-19.03381	-1.91345	4.33044	20.1416
0.036	-55.89294	-15.60974	-1.51062	8.56018	20.1416
0.0365	-59.92126	-17.22107	-5.13611	15.81116	20.1416
0.037	-60.12268	-25.07629	-1.81274	17.01965	20.1416
0.0375	-56.79932	-13.99841	0.10071	18.53027	20.1416
0.038	-58.00781	-13.59558	-2.21558	22.96143	20.1416
0.0385	-51.86462	-13.89771	-6.84814	23.16284	20.1416
0.039	-51.46179	-11.98425	-0.70496	27.19116	20.1416
0.0395	-50.354	-12.18567	-1.3092	24.27063	20.1416
0.04	-42.49878	-10.77576	-7.5531	23.26355	20.1416
0.0405	-36.95984	-11.88354	-0.50354	26.48621	20.1416
0.041	-31.52161	-1.51062	-5.63965	17.32178	20.1416
0.0415	-22.76001	-0.60425	-4.93469	13.797	20.1416
0.042	-11.58142	-2.71912	-3.42407	16.81824	20.1416
0.0425	-0.70496	-3.12195	-0.10071	11.58142	-52.67029
0.043	0.90637	5.33752	-2.21558	7.75452	-46.02356
0.0435	12.18567	4.02832	2.5177	6.2439	-41.29028
0.044	12.5885	1.91345	1.3092	2.71912	-34.34143
0.0445	26.68762	3.62549	-0.10071	0.20142	-31.32019
0.045	26.28479	12.89062	2.41699	-11.17859	-27.09045
0.0455	38.87329	15.40833	-0.80566	-7.15027	-20.74585
0.046	42.49878	11.68213	1.10779	-12.08496	-10.0708
0.0465	49.24622	12.99133	-1.40991	-14.30054	-0.90637
0.047	57.30286	9.86938	-0.70496	-18.8324	13.39417
0.0475	52.06604	8.15735	-2.01416	-20.24231	13.59558
0.048	48.64197	8.56018	0	-18.02673	19.83948
0.0485	42.7002	8.8623	1.2085	-23.56567	25.47913
0.049	42.8009	7.15027	-0.60425	-24.87488	35.44922
0.0495	36.4563	8.7616	-3.92761	-33.43506	42.39807
0.05	37.86621	8.35876	-0.40283	-24.87488	46.22498
0.0505	26.68762	9.06372	-2.61841	-22.76001	47.8363
0.051	22.86072	2.5177	-2.21558	-31.62231	50.2533
0.0515	14.40125	6.54602	1.91345	-29.40674	52.16675
0.052	7.25098	0.10071	2.71912	-21.14868	50.55542
0.0525	-5.23682	-6.74744	-2.21558	-14.19983	47.53418
0.053	-8.35876	-8.7616	-3.62549	-11.48071	42.59949
0.0535	-16.01257	-10.17151	-5.63965	-7.75452	37.16125
0.054	-25.88196	-13.29346	-1.40991	-3.62549	34.34143
0.0545	-28.60107	-13.797	-2.11487	0.10071	23.76709
0.055	-34.14001	-14.19983	0	6.2439	18.02673
0.0555	-50.45471	-13.99841	-3.02124	8.45947	12.28638
0.056	-59.01489	-17.12036	-2.92053	7.5531	-1.51062
0.0565	-62.13684	-9.46655	1.40991	10.77576	-0.50354
0.057	-60.82764	-12.5885	-0.90637	14.60266	-6.2439
0.0575	-59.31702	-15.1062	-3.8269	20.34302	-25.07629
0.058	-49.34692	-14.80408	-0.60425	26.88904	-22.86072
0.0585	-47.63489	-16.41541	-4.02832	24.27063	-24.97559
0.059	-47.63489	-10.37292	-7.45239	22.76001	-30.31311
0.0595	-48.94409	-11.58142	-3.7262	26.3855	-36.05347
0.06	-45.41931	-12.68921	-3.7262	22.86072	-40.48462
0.0605	-37.96692	-5.33752	0	20.34302	-44.31152
0.061	-33.33435	-5.94177	-4.73328	21.85364	-47.13135
0.0615	-19.23523	-8.96301	2.11487	15.60974	-48.94409
0.062	-12.28638	0.90637	-0.10071	18.42957	-52.97241
0.0625	-0.70496	4.43115	-2.5177	15.20691	-53.37524
0.063	5.13611	-3.02124	-3.52478	5.13611	-50.05188
0.0635	8.7616	2.41699	-1.10779	6.04248	-46.42639
0.064	15.40833	5.13611	5.33752	-1.81274	-32.42798
0.0645	24.27063	12.28638	1.10779	-2.92053	-29.60815
0.065	32.93152	2.92053	2.81982	-6.2439	-26.3855
0.0655	39.77966	10.97717	4.02832	-8.45947	-22.86072
0.066	41.89453	14.80408	5.0354	-13.797	-14.60266
0.0665	40.98816	12.28638	6.54602	-21.75293	-3.02124
